"date","type","home.team","away.team","home.score","away.score","home.line","home.bet","total","total.bet","season"
2009-09-10,"Week 1","PIT","TEN",13,10,-6.5,"L",35.5,"U",2009
2009-09-13,"Week 1","BAL","KC",38,24,-13,"W",37,"O",2009
2009-09-13,"Week 1","CIN","DEN",7,12,-4.5,"L",42,"U",2009
2009-09-13,"Week 1","CLE","MIN",20,34,4,"L",40,"O",2009
2009-09-13,"Week 1","HOU","NYJ",7,24,-4.5,"L",44.5,"U",2009
2009-09-13,"Week 1","IND","JAX",14,12,-6.5,"L",45,"U",2009
2009-09-13,"Week 1","NYG","WAS",23,17,-6,"P",37,"O",2009
2009-09-13,"Week 1","GB","CHI",21,15,-4.5,"W",47,"U",2009
2009-09-13,"Week 1","ATL","MIA",19,7,-4,"W",44.5,"U",2009
2009-09-13,"Week 1","CAR","PHI",10,38,1,"L",43.5,"O",2009
2009-09-13,"Week 1","NO","DET",45,27,-14,"W",50,"O",2009
2009-09-13,"Week 1","TB","DAL",21,34,4.5,"L",40,"O",2009
2009-09-13,"Week 1","ARZ","SF",16,20,-5.5,"L",45.5,"U",2009
2009-09-13,"Week 1","SEA","LAR",28,0,-7,"W",41,"U",2009
2009-09-14,"Week 1","NE","BUF",25,24,-13,"L",47.5,"O",2009
2009-09-14,"Week 1","OAK","LAC",20,24,10,"W",42.5,"O",2009
2009-09-20,"Week 2","BUF","TB",33,20,-4,"W",41.5,"O",2009
2009-09-20,"Week 2","NYJ","NE",16,9,3.5,"W",44.5,"U",2009
2009-09-20,"Week 2","JAX","ARZ",17,31,-3,"L",44,"O",2009
2009-09-20,"Week 2","TEN","HOU",31,34,-7,"L",40.5,"O",2009
2009-09-20,"Week 2","DEN","CLE",27,6,-3,"W",38.5,"U",2009
2009-09-20,"Week 2","KC","OAK",10,13,-1,"L",40,"U",2009
2009-09-20,"Week 2","LAC","BAL",26,31,-1,"L",41,"O",2009
2009-09-20,"Week 2","DAL","NYG",31,33,-3,"L",44.5,"O",2009
2009-09-20,"Week 2","PHI","NO",22,48,2.5,"L",46,"O",2009
2009-09-20,"Week 2","WAS","LAR",9,7,-10,"L",37,"U",2009
2009-09-20,"Week 2","CHI","PIT",17,14,3,"W",38,"U",2009
2009-09-20,"Week 2","DET","MIN",13,27,10,"L",45,"U",2009
2009-09-20,"Week 2","GB","CIN",24,31,-9,"L",41.5,"O",2009
2009-09-20,"Week 2","ATL","CAR",28,20,-6,"W",43.5,"O",2009
2009-09-20,"Week 2","SF","SEA",23,10,-1,"W",38.5,"U",2009
2009-09-21,"Week 2","MIA","IND",23,27,3,"L",41,"O",2009
2009-09-27,"Week 3","BUF","NO",7,27,5.5,"L",51,"U",2009
2009-09-27,"Week 3","NE","ATL",26,10,-4.5,"W",45.5,"U",2009
2009-09-27,"Week 3","NYJ","TEN",24,17,-1,"W",36.5,"O",2009
2009-09-27,"Week 3","BAL","CLE",34,3,-13.5,"W",38.5,"U",2009
2009-09-27,"Week 3","CIN","PIT",23,20,3.5,"W",36.5,"O",2009
2009-09-27,"Week 3","HOU","JAX",24,31,-4,"L",47,"O",2009
2009-09-27,"Week 3","LAC","MIA",23,13,-5.5,"W",45,"U",2009
2009-09-27,"Week 3","OAK","DEN",3,23,1,"L",38.5,"U",2009
2009-09-27,"Week 3","PHI","KC",34,14,-9,"W",38.5,"O",2009
2009-09-27,"Week 3","DET","WAS",19,14,6.5,"W",39.5,"U",2009
2009-09-27,"Week 3","MIN","SF",27,24,-7,"L",39,"O",2009
2009-09-27,"Week 3","TB","NYG",0,24,6,"L",46,"U",2009
2009-09-27,"Week 3","ARZ","IND",10,31,-3,"L",49,"U",2009
2009-09-27,"Week 3","LAR","GB",17,36,6.5,"L",42.5,"O",2009
2009-09-27,"Week 3","SEA","CHI",19,25,1,"L",37.5,"O",2009
2009-09-28,"Week 3","DAL","CAR",21,7,-9,"W",48,"U",2009
2009-10-04,"Week 4","MIA","BUF",38,10,-1,"W",37.5,"O",2009
2009-10-04,"Week 4","NE","BAL",27,21,-1,"W",45.5,"O",2009
2009-10-04,"Week 4","CLE","CIN",20,23,6,"W",37.5,"O",2009
2009-10-04,"Week 4","PIT","LAC",38,28,-5.5,"W",43,"O",2009
2009-10-04,"Week 4","HOU","OAK",29,6,-9,"W",42.5,"U",2009
