"date","type","home.team","away.team","home.score","away.score","home.line","over.under","season"
2000-09-03,"Week 1","Buffalo","Tennessee",16,13,1,40.5,2000
2000-09-03,"Week 1","Miami","Seattle",23,0,-3,36,2000
2000-09-03,"Week 1","New England","Tampa Bay",16,21,3,35.5,2000
2000-09-03,"Week 1","Cleveland","Jacksonville",7,27,10,38,2000
2000-09-03,"Week 1","Pittsburgh","Baltimore",0,16,3,37,2000
2000-09-03,"Week 1","Kansas City","Indianapolis",14,27,3,44,2000
2000-09-03,"Week 1","Oakland","L.A. Chargers",9,6,-7,39.5,2000
2000-09-03,"Week 1","Dallas","Philadelphia",14,41,-6,40,2000
2000-09-03,"Week 1","N.Y. Giants","Arizona",21,16,-7,40,2000
2000-09-03,"Week 1","Washington","Carolina",20,17,-10,47.5,2000
2000-09-03,"Week 1","Green Bay","N.Y. Jets",16,20,-2.5,36,2000
2000-09-03,"Week 1","Minnesota","Chicago",30,27,-4.5,47,2000
2000-09-03,"Week 1","Atlanta","San Francisco",36,28,-7,46,2000
2000-09-03,"Week 1","New Orleans","Detroit",10,14,-1,39.5,2000
2000-09-04,"Week 1","L.A. Rams","Denver",41,36,-6.5,49.5,2000
2000-09-10,"Week 2","Buffalo","Green Bay",27,18,-6.5,39.5,2000
2000-09-10,"Week 2","Baltimore","Jacksonville",39,36,-3,36,2000
2000-09-10,"Week 2","Cincinnati","Cleveland",7,24,-6,41,2000
2000-09-10,"Week 2","Indianapolis","Oakland",31,38,-6.5,44,2000
2000-09-10,"Week 2","Tennessee","Kansas City",17,14,-9,38,2000
2000-09-10,"Week 2","Denver","Atlanta",42,14,-4,46,2000
2000-09-10,"Week 2","L.A. Chargers","New Orleans",27,28,-5.5,34,2000
2000-09-10,"Week 2","Philadelphia","N.Y. Giants",18,33,-3,39,2000
2000-09-10,"Week 2","Detroit","Washington",15,10,5.5,42,2000
2000-09-10,"Week 2","Minnesota","Miami",13,7,-3,41,2000
2000-09-10,"Week 2","Tampa Bay","Chicago",41,0,-7,38,2000
2000-09-10,"Week 2","Arizona","Dallas",32,31,-3,38.5,2000
2000-09-10,"Week 2","San Francisco","Carolina",22,38,3,49,2000
2000-09-10,"Week 2","Seattle","L.A. Rams",34,37,8,47.5,2000
2000-09-11,"Week 2","N.Y. Jets","New England",20,19,-5,40,2000
2000-09-17,"Week 3","Miami","Baltimore",19,6,3,33,2000
2000-09-17,"Week 3","New England","Minnesota",13,21,-3,43,2000
2000-09-17,"Week 3","N.Y. Jets","Buffalo",27,14,NA,37.5,2000
2000-09-17,"Week 3","Cleveland","Pittsburgh",23,20,2,36,2000
2000-09-17,"Week 3","Jacksonville","Cincinnati",13,0,-13.5,40,2000
2000-09-17,"Week 3","Kansas City","L.A. Chargers",42,10,-6,35,2000
2000-09-17,"Week 3","Oakland","Denver",24,33,-3,43.5,2000
2000-09-17,"Week 3","Chicago","N.Y. Giants",7,14,-1.5,43,2000
2000-09-17,"Week 3","Detroit","Tampa Bay",10,31,3,34,2000
2000-09-17,"Week 3","Green Bay","Philadelphia",6,3,-4,42.5,2000
2000-09-17,"Week 3","Carolina","Atlanta",10,15,-5.5,48.5,2000
2000-09-17,"Week 3","L.A. Rams","San Francisco",41,24,-17,56.5,2000
2000-09-17,"Week 3","Seattle","New Orleans",20,10,-5.5,40,2000
2000-09-18,"Week 3","Washington","Dallas",21,27,-10.5,44.5,2000
2000-09-24,"Week 4","Miami","New England",10,3,-3,34,2000
2000-09-24,"Week 4","Baltimore","Cincinnati",37,0,-12.5,32.5,2000
2000-09-24,"Week 4","Pittsburgh","Tennessee",20,23,7,36,2000
2000-09-24,"Week 4","Denver","Kansas City",22,23,-6,43,2000
2000-09-24,"Week 4","L.A. Chargers","Seattle",12,20,2.5,36,2000
2000-09-24,"Week 4","Oakland","Cleveland",36,10,-10,41.5,2000
2000-09-24,"Week 4","Dallas","San Francisco",24,41,-6.5,46.5,2000
2000-09-24,"Week 4","N.Y. Giants","Washington",6,16,-2,41.5,2000
2000-09-24,"Week 4","Chicago","Detroit",14,21,-2.5,37.5,2000
2000-09-24,"Week 4","Atlanta","L.A. Rams",20,41,7,56,2000
2000-09-24,"Week 4","New Orleans","Philadelphia",7,21,-1.5,37,2000
2000-09-24,"Week 4","Tampa Bay","N.Y. Jets",17,21,-7.5,36.5,2000
2000-09-24,"Week 4","Arizona","Green Bay",3,29,-2.5,41.5,2000
2000-09-25,"Week 4","Indianapolis","Jacksonville",43,14,-3.5,49,2000
2000-10-01,"Week 5","Buffalo","Indianapolis",16,18,-2.5,44.5,2000
2000-10-01,"Week 5","Cincinnati","Miami",16,31,7,32.5,2000
2000-10-01,"Week 5","Cleveland","Baltimore",0,12,8,37.5,2000
2000-10-01,"Week 5","Jacksonville","Pittsburgh",13,24,-10.5,38,2000
2000-10-01,"Week 5","Tennessee","N.Y. Giants",28,14,-4,38,2000
2000-10-01,"Week 5","Denver","New England",19,28,-8.5,42,2000
2000-10-01,"Week 5","Philadelphia","Atlanta",38,10,-3,41,2000
2000-10-01,"Week 5","Washington","Tampa Bay",20,17,-2,35.5,2000
2000-10-01,"Week 5","Detroit","Minnesota",24,31,1.5,44,2000
2000-10-01,"Week 5","Green Bay","Chicago",24,27,-6,41,2000
2000-10-01,"Week 5","Carolina","Dallas",13,16,-6.5,47.5,2000
2000-10-01,"Week 5","L.A. Rams","L.A. Chargers",57,31,-17,52,2000
2000-10-01,"Week 5","San Francisco","Arizona",27,20,-4,47.5,2000
2000-10-02,"Week 5","Kansas City","Seattle",24,17,-4.5,40,2000
2000-10-08,"Week 6","Miami","Buffalo",22,13,-1,34,2000
2000-10-08,"Week 6","New England","Indianapolis",24,16,3.5,44,2000
2000-10-08,"Week 6","N.Y. Jets","Pittsburgh",3,20,-7,37.5,2000
2000-10-08,"Week 6","Cincinnati","Tennessee",14,23,9.5,38,2000
2000-10-08,"Week 6","Jacksonville","Baltimore",10,15,-2.5,37.5,2000
2000-10-08,"Week 6","L.A. Chargers","Denver",7,21,7,44.5,2000
2000-10-08,"Week 6","Philadelphia","Washington",14,17,3,37,2000
2000-10-08,"Week 6","Chicago","New Orleans",10,31,-3.5,38,2000
2000-10-08,"Week 6","Detroit","Green Bay",31,24,-3,42.5,2000
2000-10-08,"Week 6","Atlanta","N.Y. Giants",6,13,1,41.5,2000
2000-10-08,"Week 6","Carolina","Seattle",26,3,-3.5,42.5,2000
2000-10-08,"Week 6","Arizona","Cleveland",29,21,-4.5,39.5,2000
2000-10-08,"Week 6","San Francisco","Oakland",28,34,4.5,50,2000
2000-10-09,"Week 6","Minnesota","Tampa Bay",30,23,-2,40.5,2000
2000-10-15,"Week 7","Buffalo","L.A. Chargers",27,24,-10,37,2000
2000-10-15,"Week 7","New England","N.Y. Jets",17,34,-3,37,2000
2000-10-15,"Week 7","Pittsburgh","Cincinnati",15,0,-7.5,37,2000
2000-10-15,"Week 7","Denver","Cleveland",44,10,-12.5,44,2000
2000-10-15,"Week 7","Kansas City","Oakland",17,20,-3,44,2000
2000-10-15,"Week 7","N.Y. Giants","Dallas",19,14,-3.5,40,2000
2000-10-15,"Week 7","Washington","Baltimore",10,3,-3.5,34.5,2000
2000-10-15,"Week 7","Chicago","Minnesota",16,28,7,45.5,2000
2000-10-15,"Week 7","Green Bay","San Francisco",31,28,-4,50.5,2000
2000-10-15,"Week 7","New Orleans","Carolina",24,6,-1.5,40,2000
2000-10-15,"Week 7","Arizona","Philadelphia",14,33,2.5,39,2000
2000-10-15,"Week 7","L.A. Rams","Atlanta",45,29,-17.5,58.5,2000
2000-10-15,"Week 7","Seattle","Indianapolis",24,37,6,44,2000
2000-10-16,"Week 7","Tennessee","Jacksonville",27,13,-7,40.5,2000
2000-10-19,"Week 8","Tampa Bay","Detroit",14,28,-8.5,37.5,2000
2000-10-22,"Week 8","Baltimore","Tennessee",6,14,-1,34.5,2000
2000-10-22,"Week 8","Cincinnati","Denver",31,21,10.5,42.5,2000
2000-10-22,"Week 8","Pittsburgh","Cleveland",22,0,-12.5,35,2000
2000-10-22,"Week 8","Indianapolis","New England",30,23,-8.5,47,2000
2000-10-22,"Week 8","Jacksonville","Washington",16,35,4,37,2000
2000-10-22,"Week 8","Kansas City","L.A. Rams",54,34,7,55.5,2000
2000-10-22,"Week 8","Oakland","Seattle",31,3,-7,43,2000
2000-10-22,"Week 8","Dallas","Arizona",48,7,-6.5,42.5,2000
2000-10-22,"Week 8","Philadelphia","Chicago",13,9,-7,41,2000
2000-10-22,"Week 8","Minnesota","Buffalo",31,27,-6,44.5,2000
2000-10-22,"Week 8","Atlanta","New Orleans",19,21,2.5,39,2000
2000-10-22,"Week 8","Carolina","San Francisco",34,16,-3,51,2000
2000-10-23,"Week 8","N.Y. Jets","Miami",40,37,-3,35,2000
2000-10-29,"Week 9","Buffalo","N.Y. Jets",23,20,-4.5,40.5,2000
2000-10-29,"Week 9","Miami","Green Bay",28,20,-3.5,39,2000
2000-10-29,"Week 9","Baltimore","Pittsburgh",6,9,-6,33.5,2000
2000-10-29,"Week 9","Cleveland","Cincinnati",3,12,3,35,2000
2000-10-29,"Week 9","Indianapolis","Detroit",30,18,-7,48,2000
2000-10-29,"Week 9","L.A. Chargers","Oakland",13,15,7,42.5,2000
2000-10-29,"Week 9","Dallas","Jacksonville",17,23,-3.5,45,2000
2000-10-29,"Week 9","N.Y. Giants","Philadelphia",24,7,-3.5,34.5,2000
